Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Type_New,Item_Category,Outlet_Years,Price_per_Unitwt,MRP_group,Item_Outlet_Sales
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,26.86,very_high,3735.138
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,DR,1,8.15,low,443.4228
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,8.09,high,2097.27
FDX07,19.2,Regular,0.01783433788888889,Fruits and Vegetables,182.095,OUT010,Small,Tier 3,Grocery Store,Perishable,FD,12,9.48,high,732.38
NCD19,8.93,No_Fat,0.009779828555555556,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,Non_Perishable,NC,23,6.03,low,994.7052
FDP36,10.395,Regular,0.057058688875,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,FD,1,4.94,low,556.6088
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,Not_Sure,FD,23,4.22,low,343.5528
FDP10,19.0,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,Not_Sure,FD,25,5.67,medium,4022.7636
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,8,5.99,medium,1076.5986
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,Small,Tier 2,Supermarket Type1,Non_Perishable,FD,3,9.78,high,4710.535
FDY07,11.8,Low Fat,0.040626524444444444,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,3.86,low,1516.0266
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,7.79,high,2187.153
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,9.63,high,1589.2646
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,Not_Sure,FD,13,6.8,medium,2145.2076
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,Perishable,FD,23,12.01,high,1977.426
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,Perishable,FD,13,6.26,low,1547.3192
NCB42,11.8,No_Fat,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,Non_Perishable,NC,1,9.78,medium,1621.8888
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,Perishable,FD,11,6.04,low,718.3982
