Item_Weight,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Item_Type_New,Outlet_Years,Price_per_Unitwt,MRP_group,Item_Fat_Content_No_Fat,Item_Fat_Content_Regular,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Item_Category_FD,Item_Category_NC,Item_Outlet_Sales
9.3,-2.6764234958944626,249.8092,2,3,Perishable,11,26.86,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3735.138
5.92,-2.6034016373084046,48.2692,2,1,Non_Perishable,1,8.15,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,443.4228
17.5,-2.6593983990558807,141.618,2,3,Perishable,11,8.09,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2097.27
19.2,-2.6347655783786963,182.095,1,1,Perishable,12,9.48,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,732.38
8.93,-2.8589680192597977,53.8614,3,1,Non_Perishable,23,6.03,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,994.7052
10.395,-2.1030005747530716,51.4008,2,1,Non_Perishable,1,4.94,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,556.6088
13.65,-2.764032716379945,57.6588,3,1,Not_Sure,23,4.22,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,343.5528
19.0,-1.6437942174930615,107.7622,2,1,Not_Sure,25,5.67,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,4022.7636
16.2,-2.661115146799245,96.9726,1,2,Non_Perishable,8,5.99,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1076.5986
19.2,-1.8249862600840374,187.8214,1,2,Non_Perishable,3,9.78,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,4710.535
11.8,-2.273136466610045,45.5402,2,3,Perishable,11,3.86,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1516.0266
18.5,-2.218240340077893,144.1102,1,3,Perishable,13,7.79,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2187.153
15.1,-1.7913437273728174,145.4786,2,3,Perishable,11,9.63,3,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1589.2646
17.6,-2.199031358055155,119.6782,1,3,Not_Sure,13,6.8,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2145.2076
16.35,-2.009638221904182,196.4426,3,1,Perishable,23,12.01,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1977.426
