Item_Identifier,Item_Weight,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Years,Price_per_Unitwt,Item_Outlet_Sales,Item_type_Perishable,Fat_content_No_Fat,Fat_content_Regular,Out_ID_OUT013,Out_ID_OUT017,Out_ID_OUT018,Out_ID_OUT019,Out_ID_OUT027,Out_ID_OUT035,Out_ID_OUT045,Out_ID_OUT046,Out_ID_OUT049,OutletType_SupermarketType1,OutletType_SupermarketType2,OutletType_SupermarketType3,MRP_Cluster_1,MRP_Cluster_2,MRP_Cluster_3,Item_cat_FD,Item_cat_NC
FDA15,9.3,0.016047301,249.8092,2,3,11,26.86,3735.138,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0
DRC01,5.92,0.019278216,48.2692,2,1,1,8.15,443.4228,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FDN15,17.5,0.016760075,141.618,2,3,11,8.09,2097.27,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
FDX07,19.2,0.01783433788888889,182.095,1,1,12,9.48,732.38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
NCD19,8.93,0.009779828555555556,53.8614,3,1,23,6.03,994.7052,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
FDP36,10.395,0.057058688875,51.4008,2,1,1,4.94,556.6088,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0
FDO10,13.65,0.012741089,57.6588,3,1,23,4.22,343.5528,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
FDP10,19.0,0.127469857,107.7622,2,1,25,5.67,4022.7636,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0
FDH17,16.2,0.016687114,96.9726,1,2,8,5.99,1076.5986,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
FDU28,19.2,0.09444959,187.8214,1,2,3,9.78,4710.535,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDY07,11.8,0.040626524444444444,45.5402,2,3,11,3.86,1516.0266,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
FDA03,18.5,0.045463773,144.1102,1,3,13,7.79,2187.153,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
FDX32,15.1,0.1000135,145.4786,2,3,11,9.63,1589.2646,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
FDS46,17.6,0.047257328,119.6782,1,3,13,6.8,2145.2076,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
FDF32,16.35,0.0680243,196.4426,3,1,23,12.01,1977.426,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
FDP49,9.0,0.069088961,56.3614,1,3,13,6.26,1547.3192,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
NCB42,11.8,0.008596051,115.3492,2,1,1,9.78,1621.8888,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1
