Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Type_New,Item_Category,Outlet_Years,Price_per_Unitwt,MRP_Bin
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,Medium,Tier 1,Supermarket Type1,3735.138,Perishable,FD,11,26.86,very_high
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,Medium,Tier 3,Supermarket Type2,443.4228,Non_Perishable,DR,1,8.15,low
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,Medium,Tier 1,Supermarket Type1,2097.27,Perishable,FD,11,8.09,high
FDX07,19.2,Regular,0.01783433788888889,Fruits and Vegetables,182.095,OUT010,Small,Tier 3,Grocery Store,732.38,Perishable,FD,12,9.48,high
NCD19,8.93,No_Fat,0.009779828555555556,Household,53.8614,OUT013,High,Tier 3,Supermarket Type1,994.7052,Non_Perishable,NC,23,6.03,low
FDP36,10.395,Regular,0.057058688875,Baking Goods,51.4008,OUT018,Medium,Tier 3,Supermarket Type2,556.6088,Non_Perishable,FD,1,4.94,low
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,High,Tier 3,Supermarket Type1,343.5528,Non_Perishable,FD,23,4.22,low
FDP10,19.0,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,Medium,Tier 3,Supermarket Type3,4022.7636,Non_Perishable,FD,25,5.67,medium
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,Small,Tier 2,Supermarket Type1,1076.5986,Non_Perishable,FD,8,5.99,medium
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,Small,Tier 2,Supermarket Type1,4710.535,Non_Perishable,FD,3,9.78,high
FDY07,11.8,Low Fat,0.040626524444444444,Fruits and Vegetables,45.5402,OUT049,Medium,Tier 1,Supermarket Type1,1516.0266,Perishable,FD,11,3.86,low
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,Small,Tier 1,Supermarket Type1,2187.153,Perishable,FD,13,7.79,high
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,Medium,Tier 1,Supermarket Type1,1589.2646,Perishable,FD,11,9.63,high
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,Small,Tier 1,Supermarket Type1,2145.2076,Non_Perishable,FD,13,6.8,medium
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,High,Tier 3,Supermarket Type1,1977.426,Perishable,FD,23,12.01,high
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,Small,Tier 1,Supermarket Type1,1547.3192,Perishable,FD,13,6.26,low
NCB42,11.8,No_Fat,0.008596051,Health and Hygiene,115.3492,OUT018,Medium,Tier 3,Supermarket Type2,1621.8888,Non_Perishable,NC,1,9.78,medium
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,Medium,Tier 1,Supermarket Type1,718.3982,Perishable,FD,11,6.04,low
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,Medium,Tier 3,Supermarket Type3,2303.668,Non_Perishable,DR,25,13.71,medium
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,Small,Tier 2,Supermarket Type1,2748.4224,Perishable,FD,6,17.27,very_high
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,High,Tier 3,Supermarket Type1,3775.086,Non_Perishable,FD,23,13.31,very_high
FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,Medium,Tier 3,Supermarket Type3,4064.0432,Non_Perishable,FD,25,17.38,high
NCB30,14.6,No_Fat,0.025698134,Household,196.5084,OUT035,Small,Tier 2,Supermarket Type1,1587.2672,Non_Perishable,NC,6,13.46,high
FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,Small,Tier 1,Grocery Store,214.3876,Non_Perishable,FD,25,6.95,medium
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,Small,Tier 1,Supermarket Type1,4078.025,Non_Perishable,FD,13,11.91,high
NCD06,13.0,No_Fat,0.099887103,Household,45.906,OUT017,Small,Tier 2,Supermarket Type1,838.908,Non_Perishable,NC,3,3.53,low
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,Small,Tier 2,Supermarket Type1,1065.28,Non_Perishable,FD,6,5.53,low
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,High,Tier 3,Supermarket Type1,308.9312,Non_Perishable,DR,23,3.36,low
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,Small,Tier 3,Grocery Store,178.4344,Perishable,FD,12,7.68,low
FDC14,14.5,Regular,0.072221801,Canned,43.6454,OUT019,Small,Tier 1,Grocery Store,125.8362,Non_Perishable,FD,25,3.01,low
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,Small,Tier 3,Grocery Store,163.7868,Perishable,FD,12,2.9,low
NCS17,18.6,No_Fat,0.080829372,Health and Hygiene,96.4436,OUT018,Medium,Tier 3,Supermarket Type2,2741.7644,Non_Perishable,NC,1,5.19,medium
FDP33,18.7,Low Fat,0.0930934742,Snack Foods,256.6672,OUT018,Medium,Tier 3,Supermarket Type2,3068.0064,Non_Perishable,FD,1,13.73,very_high
FDO23,17.85,Low Fat,0.14246229066666669,Breads,93.1436,OUT045,Small,Tier 2,Supermarket Type1,2174.5028,Perishable,FD,8,5.22,medium
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,Small,Tier 1,Supermarket Type1,2085.2856,Non_Perishable,DR,13,9.99,high
NCX29,10.0,No_Fat,0.089291137,Health and Hygiene,146.7102,OUT049,Medium,Tier 1,Supermarket Type1,3791.0652,Non_Perishable,NC,11,14.67,high
FDV20,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,Medium,Tier 3,Supermarket Type3,2797.6916,Perishable,FD,25,6.34,medium
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,Medium,Tier 3,Supermarket Type2,1609.9044,Non_Perishable,DR,1,13.85,medium
FDX10,6.385,Regular,0.123111453,Snack Foods,36.9874,OUT027,Medium,Tier 3,Supermarket Type3,388.1614,Non_Perishable,FD,25,5.79,low
FDB34,15.25,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,Medium,Tier 3,Supermarket Type3,2180.495,Non_Perishable,FD,25,5.75,medium
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,Small,Tier 1,Supermarket Type1,3435.528,Perishable,FD,13,17.28,very_high
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,High,Tier 3,Supermarket Type1,2150.534,Perishable,FD,23,12.86,medium
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,Medium,Tier 1,Supermarket Type1,2527.3768,Non_Perishable,FD,11,14.18,high
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,Medium,Tier 3,Supermarket Type2,6768.5228,Non_Perishable,FD,1,12.17,very_high
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,High,Tier 3,Supermarket Type1,373.5138,Non_Perishable,FD,23,10.41,medium
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,Small,Tier 3,Grocery Store,358.2004,Perishable,FD,12,27.74,high
NCP05,19.6,No_Fat,0.018756953777777776,Health and Hygiene,153.3024,OUT045,Small,Tier 2,Supermarket Type1,2428.8384,Non_Perishable,NC,8,7.82,high
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,Small,Tier 2,Supermarket Type1,5815.0972,Non_Perishable,FD,8,26.52,very_high
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,Small,Tier 1,Supermarket Type1,2576.646,Non_Perishable,FD,13,3.82,low
FDS02,10.195000000000002,Regular,0.255394896,Dairy,196.8794,OUT019,Small,Tier 1,Grocery Store,780.3176,Perishable,FD,25,19.31,high
