,Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
0,FDW58,OUT049,1841.1162722318204
1,FDW14,OUT017,1586.1887227426087
2,NCN55,OUT010,1878.639384695476
3,FDQ58,OUT017,2590.8557383381512
4,FDY38,OUT027,5199.749022219535
5,FDH56,OUT046,1922.3749205465328
6,FDL48,OUT018,588.8858458919344
7,FDC48,OUT027,2793.510651225677
8,FDN33,OUT045,1501.8499310264779
9,FDA36,OUT017,3075.0682779881326
10,FDT44,OUT017,1992.1273947192103
11,FDQ56,OUT045,1324.4230835384333
12,NCC54,OUT019,1860.098000902909
13,FDU11,OUT049,2040.5815788664077
14,DRL59,OUT013,889.1909044546305
15,FDM24,OUT049,2551.89708050239
16,FDI57,OUT045,3077.247816381029
17,DRC12,OUT018,2748.777066778862
18,NCM42,OUT027,3190.0536156256085
19,FDA46,OUT010,1121.0794758767775
20,FDA31,OUT013,2805.8149593822654
21,NCJ31,OUT035,3887.3340451799195
22,FDG52,OUT046,796.3606562696323
23,NCL19,OUT019,377.59205855396567
24,FDS10,OUT035,3009.6949166264703
25,FDX22,OUT010,1466.9739273324617
26,NCF19,OUT035,926.7925528118085
27,NCE06,OUT046,2534.704541453996
28,DRC27,OUT046,3865.2382322491367
29,FDE21,OUT035,2030.316418396208
30,NCR42,OUT019,-1346.6536316619165
31,FDX51,OUT018,2868.199347069678
32,NCR06,OUT018,444.15439746971197
33,FDU31,OUT027,4975.317839523727
34,FDU59,OUT017,2716.8408428356897
35,FDR03,OUT027,4791.593981561658
36,FDS49,OUT027,2762.572116842548
37,FDD48,OUT010,-86.54795561631863
38,NCF18,OUT017,3105.392176699441
39,NCD43,OUT027,3105.1201473026276
40,NCD54,OUT018,2004.8763763560382
41,FDY19,OUT010,-41.69884683781447
42,NCY54,OUT017,2816.132249538173
43,NCL19,OUT018,2037.6765602641663
44,FDP23,OUT010,1550.3863768485762
45,FDC26,OUT013,1809.0701078318743
46,FDR14,OUT010,-1016.625346230011
47,NCS41,OUT035,3024.2533131801583
48,FDF41,OUT035,4045.953532827545
49,FDU34,OUT046,1977.0286620782126
50,DRH11,OUT046,912.2283153902267
51,FDM03,OUT013,1742.308556038589
52,FDS31,OUT017,3030.2084609670637
53,FDJ20,OUT017,2090.634464992606
54,FDV44,OUT027,4493.3116407696625
55,FDG02,OUT049,3096.8724878018047
56,FDA09,OUT013,2899.4733046473875
57,FDT04,OUT013,679.2392572813442
58,FDL58,OUT019,2272.7850956032025
59,FDE52,OUT045,1460.8513241802475
60,FDW12,OUT035,2512.7398439521558
61,FDL51,OUT017,3573.4273091290634
62,NCY42,OUT027,3708.6338407720496
63,FDR07,OUT017,1670.8814372552442
64,FDN40,OUT045,2358.5642880253727
65,FDB35,OUT027,2958.0251167354954
66,FDA22,OUT017,2731.4173606062095
67,NCL06,OUT046,4109.193983156018
68,FDI35,OUT013,2905.039275094303
69,NCW42,OUT045,3423.3609578597134
70,NCX06,OUT049,2940.5949910417476
71,FDC37,OUT027,3191.370789700476
